"ASKHAM BRYAN",,,,,,,,,,,,
Grid ref,SE552475,Long,-1.160987,Lat,53.920707,,,,,,,
Station no,3319/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.45,1.60,0.51,1.34,1.32,3.95,1.10,2.32,2.22,5.11,,
February,2.48,0.34,1.68,2.32,1.58,2.19,2.50,4.01,0.19,1.50,,
March,2.77,2.03,0.28,1.64,2.00,1.33,1.72,2.00,0.79,1.23,,
April,0.82,1.16,1.37,0.29,1.16,2.45,0.34,0.56,3.31,0.97,,
May,4.96,1.39,2.22,3.27,2.75,0.62,1.04,3.78,0.54,0.70,,
June,1.00,1.61,1.37,2.74,2.45,2.44,2.21,3.18,2.38,0.56,,
July,2.50,1.39,1.52,1.63,1.04,3.04,3.35,3.16,1.40,4.93,,
August,5.28,1.88,2.80,6.56,0.80,6.64,3.87,1.89,0.40,2.51,,
September,1.91,3.35,1.49,1.70,1.27,2.32,3.41,2.46,0.12,3.41,,
October,1.80,2.84,1.63,3.38,1.67,1.27,2.02,1.35,1.82,6.19,,
November,5.57,1.56,2.15,4.72,2.00,0.57,1.70,0.71,2.87,4.31,,
December,2.04,1.56,1.22,2.10,3.29,2.29,2.65,3.54,2.95,2.04,,
Total,34.58,20.71,18.24,31.69,21.33,29.11,25.91,28.96,18.99,33.46,,
Calc annual,34.58,20.71,18.24,31.69,21.33,29.11,25.91,28.96,18.99,33.46,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
