"GLASGOW (ELDER PARK)",,,,,,,,,,,,
Grid ref,NS543658,Long,-4.329671,Lat,55.863292,,,,,,,
Station no,5208,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.10,5.37,1.09,5.05,3.04,2.78,6.14,4.44,1.41,3.41,,
February,3.03,1.43,1.41,3.76,2.60,1.08,3.23,2.78,1.38,3.67,,
March,2.89,2.49,0.86,2.35,1.90,2.55,4.19,1.19,1.81,1.99,,
April,2.58,1.46,1.65,1.55,1.56,1.04,2.34,1.22,3.10,3.47,,
May,2.15,1.91,2.32,3.48,3.32,2.05,2.69,3.48,1.25,3.05,,
June,2.71,2.58,3.64,2.85,2.07,2.82,2.06,3.20,2.88,2.20,,
July,3.37,2.51,4.85,2.92,1.38,4.96,3.58,4.80,4.37,3.65,,
August,4.41,3.01,3.95,5.51,0.96,5.11,3.83,4.56,0.40,3.96,,
September,3.08,3.31,3.31,4.81,3.73,5.60,2.68,3.71,1.05,2.64,,
October,0.95,4.42,2.15,9.41,2.82,3.11,4.18,3.46,4.94,2.87,,
November,6.32,1.97,5.81,6.42,2.01,1.54,1.77,1.82,4.90,5.08,,
December,5.64,3.27,4.50,5.15,6.55,4.82,4.46,4.99,6.86,5.01,,
Total,42.23,33.73,35.54,53.26,32.00,37.46,41.15,39.65,34.35,41.00,,
Calc annual,42.23,33.73,35.54,53.26,31.94,37.46,41.15,39.65,34.35,41.00,,
Difference,-0.00,0.00,0.00,0.00,0.06,0.00,0.00,-0.00,0.00,0.00,,
