"CARSPHAIRN (KNOCKENGARROCH)",,,,,,,,,,,,
Grid ref,NX556971,Long,-4.273013,Lat,55.246885,,,,,,,
Station no,5020/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.71,3.97,1.90,6.98,4.38,4.21,7.97,7.68,3.39,4.93,,
February,4.00,0.98,1.65,4.56,2.06,1.10,5.11,4.81,2.06,10.79,,
March,3.31,3.85,0.77,3.91,2.45,3.46,4.67,1.01,4.52,1.97,,
April,2.93,3.40,2.87,1.17,2.44,1.14,2.43,1.82,4.29,6.72,,
May,3.37,3.25,3.95,5.48,3.83,2.17,3.17,3.64,1.94,2.68,,
June,1.65,3.17,1.82,4.24,2.68,3.78,1.73,3.49,3.77,3.96,,
July,2.22,3.42,6.25,5.34,1.77,6.62,5.29,5.13,5.88,5.41,,
August,7.89,5.35,4.57,5.11,1.44,8.43,5.28,4.91,1.49,5.33,,
September,5.15,3.14,7.74,7.64,5.59,5.10,4.38,6.55,1.94,4.19,,
October,1.06,6.89,5.82,10.20,4.11,3.65,5.23,5.08,7.72,4.82,,
November,10.69,4.00,7.44,10.93,4.23,2.49,3.02,1.96,8.35,11.12,,
December,10.25,5.20,5.73,9.02,7.99,8.17,5.73,6.27,10.54,6.38,,
Total,58.23,46.62,50.51,74.58,42.97,50.32,54.01,52.35,55.89,68.30,,
Calc annual,58.23,46.62,50.51,74.58,42.97,50.32,54.01,52.35,55.89,68.30,,
Difference,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
