"ROTHERHAM (THRYBERGH)",,,,,,,,,,,,
Grid ref,SK474961,Long,-1.287581,Lat,53.459525,,,,,,,
Station no,3134,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.80,2.29,0.50,1.71,2.33,4.14,1.17,2.36,2.33,4.24,,
February,2.70,0.36,1.84,2.64,2.64,1.51,2.14,3.83,0.04,2.07,,
March,2.68,1.58,0.74,1.50,2.71,0.76,1.11,2.08,0.91,1.63,,
April,0.88,0.98,1.95,0.27,0.51,2.69,0.17,0.56,3.00,0.69,,
May,3.95,1.60,2.05,3.29,2.54,0.35,0.84,2.57,0.93,1.15,,
June,0.75,1.86,1.19,1.58,2.80,3.06,1.74,5.37,1.86,0.74,,
July,1.49,2.08,2.44,2.01,0.62,3.61,3.72,6.03,1.07,2.37,,
August,4.23,0.93,2.16,6.69,0.53,5.45,3.74,1.85,0.68,3.33,,
September,1.38,1.77,1.25,1.50,1.21,3.25,3.97,1.91,0.00,3.83,,
October,1.07,3.96,1.66,2.90,1.75,1.36,0.95,1.63,1.67,5.56,,
November,5.74,1.51,1.27,4.69,1.93,0.75,2.62,0.62,3.50,3.22,,
December,1.67,1.80,1.12,2.62,2.24,2.56,2.18,3.21,3.07,2.02,,
Total,28.34,20.72,18.17,31.40,21.81,29.49,24.35,32.02,19.06,30.85,,
Calc annual,28.34,20.72,18.17,31.40,21.81,29.49,24.35,32.02,19.06,30.85,,
Difference,-0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
