"HORTON KIRBY (COURT LODGE)",,,,,,,,,,,,
Grid ref,TQ561685,Long,0.242341,Lat,51.394068,,,,,,,
Station no,395/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.01,1.82,0.93,1.36,2.86,2.86,0.96,2.22,2.00,1.96,,
February,5.97,0.88,1.32,1.70,1.87,0.30,2.70,2.03,0.06,1.56,,
March,2.60,2.48,0.28,1.74,1.02,0.86,0.98,0.81,1.03,1.46,,
April,2.06,1.08,2.01,0.27,0.17,1.48,0.09,1.40,1.70,0.61,,
May,1.80,0.95,1.91,2.44,3.32,0.76,1.03,1.68,1.21,1.93,,
June,1.77,1.22,1.15,3.51,1.14,1.75,0.60,3.43,0.91,1.60,,
July,3.12,0.65,2.68,2.30,0.07,6.10,2.76,1.95,1.08,3.01,,
August,2.74,2.14,1.16,2.96,0.76,2.56,3.21,3.32,0.56,3.66,,
September,2.46,3.46,2.64,1.30,3.17,2.16,2.45,5.86,0.04,3.70,,
October,0.71,2.01,2.84,1.64,3.53,1.06,1.25,2.73,1.77,5.57,,
November,3.77,4.60,1.06,4.12,0.50,0.38,2.49,1.51,3.56,3.78,,
December,1.73,2.09,0.61,1.75,1.42,3.02,1.61,2.53,4.11,2.34,,
Total,30.74,23.38,18.59,25.09,19.83,23.29,20.13,29.47,18.03,31.18,,
Calc annual,30.74,23.38,18.59,25.09,19.83,23.29,20.13,29.47,18.03,31.18,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,,
