"OBAN",,,,,,,,,,,,
Grid ref,NM852294,Long,-5.483156,Lat,56.407839,,,,,,,
Station no,5413,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.61,5.41,5.61,7.50,3.70,4.54,8.00,6.99,1.92,4.26,,
February,4.43,2.89,4.58,5.19,3.27,2.44,4.77,2.73,2.83,4.91,,
March,3.42,4.74,2.56,4.16,1.23,2.62,7.31,1.37,3.89,2.21,,
April,4.59,3.72,3.32,2.13,4.90,2.95,3.44,2.93,4.60,4.93,,
May,0.85,1.65,4.38,3.08,3.03,5.08,2.63,4.86,1.91,3.27,,
June,2.76,4.36,0.96,4.63,4.32,3.37,2.00,2.10,3.89,3.62,,
July,5.01,3.88,6.87,3.84,1.15,6.20,5.36,3.81,7.44,3.92,,
August,3.93,6.11,6.50,5.20,1.89,5.47,4.64,5.37,2.91,4.39,,
September,4.69,4.38,8.53,8.13,8.83,5.58,4.00,3.96,2.38,3.60,,
October,4.12,6.36,6.92,11.17,6.63,4.20,10.33,8.41,6.13,2.16,,
November,6.52,2.60,11.41,9.26,2.15,3.80,3.29,2.31,8.04,7.61,,
December,11.30,7.67,6.79,9.85,8.54,8.50,7.68,5.51,9.45,9.54,,
Total,58.23,53.77,68.43,74.14,49.64,54.75,63.45,50.35,55.39,54.42,,
Calc annual,58.23,53.77,68.43,74.14,49.64,54.75,63.45,50.35,55.39,54.42,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
