"ST.OSYTH (WIGBOROUGH WICK)",,,,,,,,,,,,
Grid ref,TM116140,Long,1.066428,Lat,51.784630,,,,,,,
Station no,1309,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.85,1.56,0.90,,,,,,,,,
February,4.05,0.99,1.08,,,,,,,,,
March,2.49,3.05,0.19,,,,,,,,,
April,2.09,1.12,1.54,,,,,,,,,
May,2.10,1.41,1.35,,,,,,,,,
June,1.37,2.07,2.48,,,,,,,,,
July,2.32,0.68,2.92,,,,,,,,,
August,3.05,1.85,1.03,,,,,,,,,
September,2.87,4.61,1.34,,,,,,,,,
October,0.88,2.63,1.96,,,,,,,,,
November,2.83,3.84,0.93,,,,,,,,,
December,1.13,2.33,0.61,,,,,,,,,
Total,27.03,26.14,16.33,,,,,,,,,
Calc annual,27.03,26.14,16.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
