"DRIFFIELD",,,,,,,,,,,,
Grid ref,TA031582,Long,-0.428260,Lat,54.009533,,,,,,,
Station no,3402,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,-999.00,,,,,,2.47,2.42,5.37,,
February,,,,,,,,3.92,0.26,1.92,,
March,,,,,,,,2.06,1.35,1.40,,
April,,,,,,,,1.05,2.58,0.79,,
May,,-999.00,,,,,,1.83,0.66,1.40,,
June,,1.83,,,,,,3.45,1.25,0.71,,
July,,,,,,,,3.33,1.06,2.70,,
August,,,,,,,,1.16,0.85,4.14,,
September,,-999.00,,,,,,2.01,0.24,1.97,,
October,,2.23,,,,,,2.19,2.10,7.71,,
November,,3.45,,,,,,0.54,3.24,4.63,,
December,,-999.00,,,,,,3.25,4.02,2.98,,
Total,,-999.00,,,,,,27.26,20.03,35.72,,
Calc annual,0.00,7.51,0.00,0.00,0.00,0.00,0.00,27.26,20.03,35.72,,
Difference,NaN,-1006.51,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
