"MULL (TOBERMORY SCHOOLHOUSE)",,,,,,,,,,,,
Grid ref,NM505555,Long,-6.069133,Lat,56.624687,,,,,,,
Station no,1297468,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,8.52,5.02,5.72,,8.47,,,,
February,,,,5.20,4.24,3.83,,4.38,,,,
March,,,,6.07,1.20,2.62,,1.69,,,,
April,,,,1.95,5.00,3.15,,3.43,,,,
May,,,,3.69,2.80,4.30,1.27,3.85,,,,
June,,,,4.99,3.30,4.28,,2.09,,,,
July,,,,4.56,0.54,,,2.93,,,,
August,,,,4.98,2.03,,,6.32,,,,
September,,,7.57,10.29,9.02,,,4.79,,,,
October,,,6.67,10.22,9.15,,9.92,8.89,,,,
November,,,11.91,10.36,3.40,,5.16,,,,,
December,,,7.02,10.43,8.83,,8.12,,,,,
Total,,,,81.26,54.53,,,,,,,
Calc annual,0.00,0.00,33.17,81.26,54.53,23.90,24.47,46.84,0.00,0.00,,
Difference,NaN,NaN,NaN,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
