"ABERFELDY (TIGH'N EILEAN)",,,,,,,,,,,,
Grid ref,NN852492,Long,-3.872464,Lat,56.620546,,,,,,,
Station no,5554,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.24,3.58,0.87,3.63,1.75,3.09,5.66,2.83,1.58,3.14,,
February,4.01,0.70,1.01,3.58,2.17,1.85,5.14,2.86,0.71,4.73,,
March,1.70,2.62,1.35,3.13,0.98,4.39,2.76,1.55,3.50,2.66,,
April,2.50,1.54,2.00,0.90,0.83,0.81,1.19,1.02,3.22,5.25,,
May,1.71,2.71,2.56,5.37,1.93,1.22,1.87,2.65,1.26,3.21,,
June,2.01,2.03,1.61,1.68,0.86,2.05,1.16,3.57,1.57,1.95,,
July,1.83,1.07,3.31,1.71,0.94,3.48,4.53,5.66,3.18,3.59,,
August,5.62,3.17,1.57,2.93,0.97,4.52,5.71,5.53,1.31,4.50,,
September,2.28,1.38,3.77,3.49,1.86,5.68,1.69,4.50,0.90,2.81,,
October,1.06,4.92,2.55,6.48,2.86,2.18,2.28,2.63,5.61,5.57,,
November,11.01,2.06,4.09,9.60,2.13,1.81,0.77,1.05,5.55,5.45,,
December,5.03,2.69,4.59,5.41,7.30,7.71,6.14,5.39,10.40,3.80,,
Total,42.00,28.47,29.28,47.91,24.58,38.79,38.90,39.24,38.79,46.66,,
Calc annual,42.00,28.47,29.28,47.91,24.58,38.79,38.90,39.24,38.79,46.66,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
