"SOBERTON (MISLINGFORD)",,,,,,,,,,,,
Grid ref,SU596142,Long,-1.153401,Lat,50.924186,,,,,,,
Station no,699,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.09,2.30,1.11,2.13,3.62,5.69,2.97,4.79,3.33,4.23,,
February,5.85,0.73,1.54,3.38,1.62,0.13,4.56,2.79,0.12,3.48,,
March,4.98,3.09,0.53,3.95,1.35,0.52,2.38,1.60,2.98,1.81,,
April,2.96,1.88,1.60,0.49,0.59,1.73,0.23,0.79,2.82,1.03,,
May,2.51,2.96,2.77,2.35,4.59,0.34,1.34,2.53,0.33,1.22,,
June,1.14,1.20,2.15,3.94,3.00,2.62,1.64,3.20,0.58,2.87,,
July,3.70,0.36,5.36,3.34,0.95,3.21,4.64,2.07,1.82,6.17,,
August,6.99,2.82,1.94,3.69,0.94,3.49,2.99,4.32,3.18,4.06,,
September,3.99,3.59,2.93,3.15,2.10,4.36,3.75,4.80,0.14,5.66,,
October,1.06,4.70,3.99,3.19,5.13,2.35,2.33,4.23,3.22,7.68,,
November,8.47,4.36,1.81,5.68,3.46,0.78,3.81,2.98,4.34,6.44,,
December,3.13,2.61,0.77,3.03,4.24,5.51,2.68,3.75,7.91,4.24,,
Total,48.87,30.60,26.50,38.32,31.59,30.73,33.32,37.85,30.77,48.89,,
Calc annual,48.87,30.60,26.50,38.32,31.59,30.73,33.32,37.85,30.77,48.89,,
Difference,-0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
