"LOUGHBOROUGH (THE WIDENINGS)",,,,,,,,,,,,
Grid ref,SK518180,Long,-1.233893,Lat,52.757134,,,,,,,
Station no,2519,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.28,2.62,0.78,0.81,,,,,,,,
February,3.41,0.68,1.42,2.30,,,,,,,,
March,3.58,2.96,1.52,1.58,,,,,,,,
April,1.92,2.11,2.82,0.30,,,,,,,,
May,3.85,2.72,2.44,2.35,,,,,,,,
June,1.30,2.07,2.90,2.05,,,,,,,,
July,0.85,0.36,1.35,1.83,,,,,,,,
August,4.70,2.37,2.00,3.55,,,,,,,,
September,1.65,1.97,1.20,1.59,,,,,,,,
October,0.85,2.69,2.10,2.58,,,,,,,,
November,5.25,2.00,0.96,3.98,,,,,,,,
December,2.18,2.75,0.51,2.05,,,,,,,,
Total,32.82,25.30,20.00,24.97,,,,,,,,
Calc annual,32.82,25.30,20.00,24.97,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
