"BISHOP'S STORTFORD COLLEGE",,,,,,,,,,,,
Grid ref,TL481213,Long,0.149757,Lat,51.870618,,,,,,,
Station no,963/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.22,1.15,,2.30,2.60,,
February,,,,,,0.58,,2.61,0.07,1.66,,
March,,,,,,0.75,,1.11,2.11,0.99,,
April,,,,,0.34,1.05,0.19,1.04,2.55,0.42,,
May,,,,,4.66,0.50,0.46,2.43,0.85,1.33,,
June,,,,,2.71,1.94,2.20,5.63,0.72,1.41,,
July,,,,,0.40,4.30,2.93,2.61,3.63,2.78,,
August,,,,,0.99,5.00,,3.24,0.69,2.60,,
September,,,,,1.89,1.81,,3.50,0.00,5.10,,
October,,,,,3.91,2.46,1.55,2.45,1.85,5.81,,
November,,,,,0.71,0.70,2.45,1.75,2.28,3.27,,
December,,,,,1.62,3.44,,2.69,4.08,2.97,,
Total,,,,,,25.75,,,21.13,30.94,,
Calc annual,0.00,0.00,0.00,0.00,17.23,25.75,10.93,29.06,21.13,30.94,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,-0.00,0.00,,
