"SALE (CARRINGTON LANE)",,,,,,,,,,,,
Grid ref,SJ765928,Long,-2.355162,Lat,53.431456,,,,,,,
Station no,2741/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.97,3.46,1.24,3.20,2.36,4.73,1.99,2.88,2.75,4.78,,
February,1.90,0.95,1.07,3.02,2.09,0.60,1.93,4.92,0.31,2.08,,
March,4.26,2.03,1.73,2.24,2.09,1.08,2.56,1.75,1.42,1.11,,
April,1.68,3.47,2.47,0.71,2.03,3.60,0.44,0.66,3.13,1.57,,
May,2.47,1.81,1.92,2.46,2.36,0.87,1.01,3.07,2.06,2.15,,
June,0.92,2.41,1.80,3.24,2.60,1.99,1.59,4.76,2.52,1.76,,
July,2.71,1.80,3.25,4.38,0.70,4.89,4.96,4.25,2.99,4.69,,
August,4.03,2.20,3.67,5.40,0.92,8.59,3.78,4.43,0.17,5.78,,
September,2.82,3.13,2.62,3.69,2.46,2.50,5.28,4.32,0.22,2.82,,
October,1.22,3.65,1.91,5.80,2.27,2.39,3.28,2.64,2.92,4.07,,
November,6.47,2.18,3.00,5.45,1.59,1.06,1.68,1.35,3.76,4.47,,
December,4.90,3.10,1.21,4.69,3.75,2.55,3.02,3.61,4.79,3.68,,
Total,36.35,30.19,25.89,44.28,25.22,34.85,31.52,38.64,27.04,38.96,,
Calc annual,36.35,30.19,25.89,44.28,25.22,34.85,31.52,38.64,27.04,38.96,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
