"ST CATHERINE'S POINT (C.G. STN) LIGHTHOUSE",,,,,,,,,,,,
Grid ref,SZ506755,Long,-1.286744,Lat,50.577057,,,,,,,
Station no,590,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.72,2.20,1.43,1.43,3.71,5.12,2.35,4.48,3.21,4.74,,
February,6.28,0.89,1.13,3.37,1.98,0.16,3.78,3.02,0.27,2.71,,
March,4.35,3.33,0.22,3.73,1.04,0.31,1.90,1.23,2.04,2.08,,
April,2.07,1.39,1.27,0.26,0.57,2.02,0.27,0.56,2.37,1.30,,
May,2.93,2.15,2.25,1.70,3.12,0.42,0.66,3.00,0.95,2.43,,
June,1.00,0.93,1.37,2.79,3.22,1.93,1.06,3.23,0.37,1.24,,
July,1.32,0.31,2.29,3.44,0.36,2.10,3.89,1.39,2.07,3.60,,
August,3.27,1.81,1.37,2.48,1.58,4.81,2.09,4.52,2.26,5.19,,
September,3.40,6.07,2.94,3.10,1.49,3.67,4.20,3.96,0.17,5.83,,
October,1.90,3.83,2.89,2.83,2.03,1.31,2.29,2.48,3.38,7.43,,
November,7.07,5.97,1.80,5.90,1.72,0.96,2.55,3.21,4.34,6.72,,
December,2.20,4.07,0.99,3.54,5.23,5.37,3.72,4.03,7.46,4.94,,
Total,39.51,32.95,19.95,34.57,26.05,28.18,28.76,35.11,28.89,48.21,,
Calc annual,39.51,32.95,19.95,34.57,26.05,28.18,28.76,35.11,28.89,48.21,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
