"BURNLEY (HABERGHAM EAVES)",,,,,,,,,,,,
Grid ref,SD838308,Long,-2.247281,Lat,53.773283,,,,,,,
Station no,2965/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.40,5.49,4.07,4.02,,6.21,,
February,,,,,2.17,1.04,3.84,6.99,,4.48,,
March,,,,,2.39,1.98,3.38,2.14,,1.42,,
April,,,,,2.52,2.64,0.37,1.27,,3.25,,
May,,,,,4.29,1.69,1.56,5.78,,2.01,,
June,,,,,2.95,2.56,2.17,4.78,,1.11,,
July,,,,,1.10,5.34,5.80,3.60,,7.33,,
August,,,,,1.20,12.02,5.04,3.71,,6.30,,
September,,,,,3.20,3.74,6.00,5.04,,2.94,,
October,,,,,3.00,2.53,5.47,4.11,,4.57,,
November,,,,,3.11,1.78,2.53,1.66,,8.36,,
December,,,,,6.28,5.39,6.26,4.28,,5.90,,
Total,,,,,34.61,46.20,46.49,47.38,,53.88,,
Calc annual,0.00,0.00,0.00,0.00,34.61,46.20,46.49,47.38,0.00,53.88,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,NaN,0.00,,
