"SALFORD (WEATSE SEW. WORKS)",,,,,,,,,,,,
Grid ref,SJ394980,Long,-2.914499,Lat,53.475224,,,,,,,
Station no,2831/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.06,3.73,1.44,3.54,2.17,4.67,2.49,3.19,3.07,4.45,,
February,1.80,1.00,1.46,2.96,1.78,0.72,2.15,5.48,0.39,2.10,,
March,4.26,2.28,1.85,2.43,1.85,1.05,3.09,2.03,1.60,0.86,,
April,1.95,4.06,2.45,0.69,2.29,3.90,0.45,1.14,3.02,1.94,,
May,2.44,1.88,1.83,2.61,2.94,1.07,1.38,3.74,1.10,2.03,,
June,0.74,2.51,2.01,3.42,3.31,2.16,1.97,4.73,2.94,1.82,,
July,3.00,2.09,4.13,4.84,0.87,6.14,4.59,4.97,3.15,5.40,,
August,3.80,2.33,4.27,5.50,0.95,9.23,4.20,5.83,0.32,5.42,,
September,2.72,3.27,3.05,4.19,2.19,2.67,5.86,4.72,0.27,3.36,,
October,1.03,3.70,1.95,6.29,2.17,2.74,4.06,2.78,3.50,4.32,,
November,6.98,2.32,3.49,5.32,1.80,1.53,1.66,1.58,4.08,5.16,,
December,5.68,3.60,1.26,5.26,4.25,3.04,3.68,3.61,5.00,3.66,,
Total,37.46,32.77,29.19,47.05,26.57,38.92,35.58,43.80,28.44,40.52,,
Calc annual,37.46,32.77,29.19,47.05,26.57,38.92,35.58,43.80,28.44,40.52,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
