"ATHELNEY (CURRYMOOR PUMPING STN)",,,,,,,,,,,,
Grid ref,ST344289,Long,-2.937356,Lat,51.055679,,,,,,,
Station no,2077/1/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,3.47,2.99,1.86,1.92,3.02,3.00,,
February,,,,,1.93,0.13,3.48,2.93,0.26,2.71,,
March,,,,,0.93,0.49,1.61,0.58,3.52,1.61,,
April,,,,,0.84,1.55,0.10,0.39,2.62,2.35,,
May,,,,,-999.00,0.49,1.74,1.91,0.93,0.97,,
June,,,,,2.30,1.13,1.83,3.52,0.40,0.87,,
July,,,,,0.78,2.75,3.03,2.05,1.15,3.42,,
August,,,,,0.88,3.28,3.15,2.38,1.39,3.22,,
September,,,,,1.27,4.30,2.81,3.94,0.05,3.29,,
October,,,,,1.52,1.61,1.92,1.96,3.08,7.91,,
November,,,,,3.89,0.65,2.08,2.70,4.54,2.45,,
December,,,,,4.79,3.75,2.55,3.88,5.59,3.17,,
Total,,,,,26.13,23.12,26.16,28.16,26.55,34.97,,
Calc annual,0.00,0.00,0.00,0.00,22.60,23.12,26.16,28.16,26.55,34.97,,
Difference,NaN,NaN,NaN,NaN,3.53,0.00,0.00,0.00,0.00,0.00,,
