"PORTLAND (SECONDARY MODERN SCHOOL)",,,,,,,,,,,,
Grid ref,SY687717,Long,-2.443095,Lat,50.544222,,,,,,,
Station no,1550/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.05,2.11,0.76,1.67,3.09,,2.49,3.40,4.41,4.18,,
February,5.72,1.21,1.53,2.84,2.22,,3.77,2.92,0.43,3.77,,
March,4.89,3.00,0.60,3.81,1.42,,2.47,1.62,3.17,2.81,,
April,2.48,1.52,1.96,0.07,0.70,,0.45,0.32,2.08,2.40,,
May,2.87,2.48,3.05,1.10,3.04,,1.91,1.36,0.73,1.68,,
June,0.42,1.34,1.31,2.55,2.47,,1.07,2.86,0.85,2.76,,
July,1.46,0.79,2.95,3.05,3.99,,2.85,2.30,1.20,3.33,,
August,4.45,1.84,1.38,2.58,1.27,,,1.98,1.10,5.15,,
September,3.53,4.23,2.32,2.89,1.31,,2.59,4.08,0.00,5.22,,
October,0.89,4.77,2.98,2.34,4.94,,2.30,2.71,2.69,9.14,,
November,7.62,4.11,1.33,4.93,2.39,,2.48,3.54,3.77,6.25,,
December,2.54,2.80,0.58,3.41,5.32,,1.97,5.53,7.27,2.18,,
Total,39.92,30.20,20.75,31.24,32.16,,,32.62,27.70,48.87,,
Calc annual,39.92,30.20,20.75,31.24,32.16,0.00,24.35,32.62,27.70,48.87,,
Difference,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,0.00,0.00,0.00,,
