"BUDBY (PUMPING STATION)",,,,,,,,,,,,
Grid ref,SK604702,Long,-1.096745,Lat,53.225421,,,,,,,
Station no,2628/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.89,1.78,0.62,1.05,2.20,4.30,1.30,,,,,
February,3.30,0.26,1.41,2.54,2.86,0.90,2.00,,,,,
March,2.85,1.77,1.23,1.89,2.90,0.68,1.61,,,,,
April,0.90,1.10,2.26,0.28,0.69,1.85,0.26,,,,,
May,2.88,2.06,1.97,2.88,2.44,0.31,1.53,,,,,
June,0.91,1.87,1.52,2.72,2.24,4.28,1.51,,,,,
July,0.69,0.73,2.26,1.51,0.71,3.11,3.85,,,,,
August,4.47,1.87,1.50,4.39,0.27,6.58,3.65,,,,,
September,1.22,2.13,1.10,2.09,0.59,1.84,4.09,,,,,
October,0.82,3.17,2.32,2.88,1.81,1.08,0.98,,,,,
November,5.91,1.57,1.17,5.04,1.88,0.72,2.63,,,,,
December,1.69,1.60,0.78,1.85,2.09,2.95,1.73,,,,,
Total,27.53,19.91,18.14,29.12,20.68,28.60,25.14,,,,,
Calc annual,27.53,19.91,18.14,29.12,20.68,28.60,25.14,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
