"SAFFRON WALDEN (BRIDGE END) (TECHNICAL SCHOOL)",,,,,,,,,,,,
Grid ref,TL532378,Long,0.231121,Lat,52.017478,,,,,,,
Station no,1330/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.29,1.79,0.96,1.24,2.34,3.09,0.89,2.25,2.48,2.23,,
February,3.28,0.63,1.75,1.64,1.28,0.57,2.03,2.42,0.09,1.53,,
March,2.75,2.34,0.46,1.85,1.15,0.59,0.88,0.73,1.85,1.18,,
April,2.85,1.18,2.26,0.48,0.26,1.42,0.07,0.92,2.10,0.32,,
May,2.55,0.88,1.73,3.02,3.10,0.58,0.41,2.46,0.39,1.03,,
June,1.18,1.09,2.66,1.90,2.51,1.94,1.79,5.54,0.68,1.43,,
July,1.32,0.62,2.97,2.68,0.33,2.30,1.83,4.16,3.39,3.31,,
August,3.44,4.09,1.87,3.70,0.92,4.14,1.63,2.38,0.41,3.02,,
September,2.36,2.61,1.43,1.05,1.79,1.70,2.60,2.78,0.08,3.55,,
October,0.97,2.43,3.06,1.63,3.94,1.53,1.98,1.80,1.75,5.66,,
November,3.56,3.87,1.11,3.87,0.53,1.15,1.98,1.63,2.27,2.84,,
December,1.50,2.56,0.63,1.96,1.78,2.76,2.06,2.66,5.06,3.34,,
Total,28.05,24.09,20.89,25.02,19.93,21.77,18.15,29.73,20.55,29.44,,
Calc annual,28.05,24.09,20.89,25.02,19.93,21.77,18.15,29.73,20.55,29.44,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
