"BERE REGIS (DODDINGS)",,,,,,,,,,,,
Grid ref,SY851939,Long,-2.212544,Lat,50.744512,,,,,,,
Station no,1595/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.74,1.98,0.81,1.88,3.67,4.69,3.19,3.76,5.01,3.52,,
February,5.61,0.62,1.62,3.28,2.15,0.16,4.46,2.90,0.46,3.25,,
March,3.72,2.67,0.63,4.16,1.74,0.81,3.06,1.33,4.00,2.69,,
April,2.96,1.47,2.66,0.10,0.52,1.61,0.13,0.55,2.72,2.31,,
May,2.48,2.54,2.64,2.28,4.44,0.68,2.56,2.45,1.00,1.88,,
June,0.33,1.00,1.93,3.09,2.52,2.40,2.08,3.69,1.52,3.06,,
July,1.05,0.63,2.66,2.78,3.61,2.80,3.39,1.97,1.80,4.34,,
August,4.50,3.19,1.84,3.00,0.56,3.83,2.94,2.29,2.55,6.15,,
September,4.06,4.81,3.57,3.47,1.13,5.94,2.97,5.64,0.16,5.82,,
October,1.11,4.51,4.75,3.10,4.12,1.89,3.09,3.89,3.63,9.08,,
November,8.82,4.09,2.14,6.42,3.41,0.98,2.83,3.56,3.97,5.94,,
December,2.58,2.96,0.83,3.33,5.71,6.09,2.74,4.97,7.85,3.91,,
Total,40.96,30.47,26.08,36.89,33.58,31.88,33.44,37.00,34.67,51.95,,
Calc annual,40.96,30.47,26.08,36.89,33.58,31.88,33.44,37.00,34.67,51.95,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
