"LOCH TURRET (UPPER KELTIE)",,,,,,,,,,,,
Grid ref,NN844289,Long,-3.876457,Lat,56.438074,,,,,,,
Station no,5545/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.30,3.50,2.00,,4.10,4.50,9.00,5.60,3.50,5.55,,
February,6.50,2.00,2.00,,3.10,2.50,7.80,4.20,3.10,6.25,,
March,4.20,4.62,2.00,,3.90,4.40,8.00,4.50,,4.60,,
April,4.10,2.60,2.65,,2.90,1.55,3.00,2.85,10.75,6.60,,
May,1.80,2.60,3.35,,3.50,3.35,3.65,5.10,1.70,4.90,,
June,3.60,3.50,3.25,4.20,2.70,3.70,2.80,5.35,3.00,3.65,,
July,4.70,3.45,6.70,4.75,1.50,7.30,7.00,6.47,7.15,6.65,,
August,8.50,6.00,3.50,5.30,1.50,8.40,7.05,6.48,2.65,7.10,,
September,5.00,2.50,7.50,7.15,3.75,8.30,4.65,7.85,1.60,6.75,,
October,2.00,5.20,3.65,10.40,4.90,4.65,4.30,5.00,6.85,9.20,,
November,12.60,3.00,,,3.20,1.65,4.20,2.20,10.75,,,
December,,4.00,,,10.60,9.60,8.50,8.00,11.50,,,
Total,,42.97,,,45.65,59.90,69.95,63.60,62.55,,,
Calc annual,59.30,42.97,36.60,31.80,45.65,59.90,69.95,63.60,62.55,61.25,,
Difference,NaN,0.00,NaN,NaN,-0.00,0.00,0.00,0.00,-0.00,NaN,,
