"ACHNAHARD",,,,,,,,,,,,
Grid ref,NN527092,Long,-4.379094,Lat,56.252404,,,,,,,
Station no,5517,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.75,5.70,3.05,6.35,4.60,4.75,11.00,8.95,3.80,5.50,,
February,4.35,2.15,3.15,6.80,3.15,2.25,6.15,3.30,3.30,7.50,,
March,4.65,6.45,2.40,5.05,3.10,3.90,7.15,2.70,5.60,3.40,,
April,5.30,3.40,3.90,2.60,3.95,2.15,3.15,3.00,5.60,7.80,,
May,1.80,2.40,3.80,5.35,4.50,4.95,3.35,5.00,1.50,5.80,,
June,3.90,3.70,2.85,3.80,3.60,4.30,2.25,3.25,3.40,2.80,,
July,3.20,3.40,6.40,3.65,1.05,6.10,6.05,4.75,6.90,5.50,,
August,6.45,5.45,3.40,5.30,1.30,7.15,6.05,7.00,2.60,5.80,,
September,5.60,2.80,7.90,8.80,5.40,7.75,4.60,6.20,1.90,4.20,,
October,2.05,6.00,4.90,11.30,5.70,4.55,6.70,6.00,7.50,6.40,,
November,11.00,2.20,10.20,12.60,3.65,2.60,2.55,2.10,10.50,10.00,,
December,10.10,6.30,7.95,11.95,11.15,10.60,10.04,10.50,15.00,8.00,,
Total,66.15,49.95,59.90,83.55,51.15,61.05,68.04,62.75,67.60,72.70,,
Calc annual,66.15,49.95,59.90,83.55,51.15,61.05,69.04,62.75,67.60,72.70,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,-1.00,-0.00,0.00,0.00,,
