"CHESTERFIELD (LOWER LINACRE RES.)",,,,,,,,,,,,
Grid ref,SK338725,Long,-1.494911,Lat,53.248447,,,,,,,
Station no,2716,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.82,3.62,0.99,3.00,3.03,5.95,2.07,3.43,2.96,4.87,,
February,4.17,0.69,2.15,3.26,2.70,1.43,3.18,4.57,0.09,3.18,,
March,4.75,2.24,1.86,2.90,3.11,1.13,2.27,2.37,1.82,2.25,,
April,1.59,1.82,2.97,0.38,1.02,2.30,0.15,1.06,3.82,1.55,,
May,3.66,2.66,2.37,3.14,3.43,0.63,1.51,2.64,1.38,1.59,,
June,1.02,2.02,2.23,3.23,3.39,3.61,1.27,5.28,1.27,1.22,,
July,1.51,2.12,2.96,2.62,1.04,4.81,4.31,5.18,1.71,3.93,,
August,4.69,2.26,3.19,4.85,0.87,6.48,4.33,2.33,1.03,4.96,,
September,2.62,2.63,2.00,3.06,1.09,3.52,5.95,3.41,0.08,3.92,,
October,0.95,4.08,2.49,3.62,2.45,2.03,1.81,2.79,2.12,6.05,,
November,8.59,1.95,1.50,6.71,3.15,0.85,2.82,0.90,4.00,4.49,,
December,3.43,2.98,1.35,3.99,3.49,4.78,2.86,4.18,4.68,3.13,,
Total,39.80,29.07,26.06,40.76,28.77,37.52,32.53,38.14,24.96,41.14,,
Calc annual,39.80,29.07,26.06,40.76,28.77,37.52,32.53,38.14,24.96,41.14,,
Difference,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
