"ERRAL (FINGASK)",,,,,,,,,,,,
Grid ref,NO227273,Long,-3.255025,Lat,56.431540,,,,,,,
Station no,5573/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.40,2.60,0.80,2.30,1.70,1.89,3.70,2.20,0.92,4.30,,
February,2.85,0.70,0.90,2.40,2.30,1.70,3.80,3.30,0.62,2.90,,
March,1.80,2.40,0.70,3.30,1.30,1.70,2.70,3.30,1.32,2.25,,
April,1.95,1.00,2.10,1.10,1.10,0.80,0.65,1.50,2.63,1.95,,
May,1.30,2.00,2.10,6.40,2.10,0.90,2.01,2.60,0.70,2.00,,
June,2.10,2.70,1.70,2.20,0.70,2.60,0.50,2.90,3.05,3.90,,
July,4.80,2.30,5.20,3.40,1.00,3.25,4.80,4.65,4.30,2.72,,
August,3.95,2.90,1.80,3.00,0.80,4.60,3.60,4.50,0.61,4.65,,
September,2.20,0.90,2.50,2.30,1.45,5.80,2.00,2.60,0.75,1.60,,
October,0.50,1.50,0.90,7.50,2.40,1.75,2.00,1.75,2.10,6.53,,
November,7.20,1.90,3.20,5.20,2.00,0.60,1.70,0.80,4.80,2.90,,
December,2.60,2.03,4.00,3.70,4.40,3.40,4.30,4.50,4.80,2.35,,
Total,33.65,22.93,25.90,42.80,21.25,28.99,31.76,34.60,26.60,38.05,,
Calc annual,33.65,22.93,25.90,42.80,21.25,28.99,31.76,34.60,26.60,38.05,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
