"DALRY (KENDOON)",,,,,,,,,,,,
Grid ref,NX615884,Long,-4.176012,Lat,55.170457,,,,,,,
Station no,5018/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.69,7.46,4.81,4.09,7.91,6.67,3.05,4.90,,
February,,,1.74,5.34,2.16,0.74,4.63,4.70,1.74,5.58,,
March,,,0.42,4.24,2.64,2.64,4.79,1.45,4.18,1.69,,
April,,,2.35,1.49,2.05,1.82,2.64,1.49,3.64,4.99,,
May,,,3.23,4.63,3.51,1.87,2.91,3.76,1.03,1.82,,
June,,,2.05,4.00,3.18,3.25,1.51,3.95,3.35,3.00,,
July,,,6.27,3.65,1.93,5.60,4.69,4.86,5.19,4.23,,
August,,,2.99,4.30,1.41,7.17,3.78,5.76,0.76,5.63,,
September,,,7.29,7.53,3.95,5.50,4.24,6.43,1.65,3.65,,
October,,,5.21,10.01,4.32,3.88,4.48,4.49,6.53,4.99,,
November,,3.30,9.09,9.91,3.74,1.88,2.53,2.32,7.01,10.81,,
December,,5.09,5.92,7.27,7.86,6.52,5.17,5.70,9.17,6.25,,
Total,,,48.25,69.83,41.56,44.96,49.28,51.58,47.30,57.54,,
Calc annual,0.00,8.39,48.25,69.83,41.56,44.96,49.28,51.58,47.30,57.54,,
Difference,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,,
