"SKIPTON (CHELKER RESERVOIR)",,,,,,,,,,,,
Grid ref,SE051517,Long,-1.923759,Lat,53.961360,,,,,,,
Station no,3328,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.11,4.25,0.74,2.46,1.64,3.87,2.86,2.85,2.86,3.64,,
February,2.89,0.66,2.53,2.55,1.83,1.48,2.69,6.43,0.32,2.22,,
March,3.40,2.04,1.20,2.16,1.99,1.38,2.50,1.74,1.32,1.72,,
April,1.22,2.08,2.34,0.45,0.95,2.68,0.27,0.75,3.64,2.03,,
May,3.13,1.86,1.39,2.85,2.86,1.40,0.97,4.48,0.71,1.51,,
June,1.14,2.98,2.50,2.50,2.30,1.90,1.77,4.03,1.73,0.83,,
July,2.03,1.75,4.43,2.38,0.80,4.76,2.69,3.30,1.99,7.69,,
August,4.38,4.76,4.06,7.21,0.84,8.18,4.53,4.32,0.56,3.61,,
September,2.64,2.96,2.59,3.65,2.25,4.34,5.41,3.74,0.21,2.66,,
October,1.24,3.90,1.96,5.74,2.67,1.83,4.42,3.05,3.34,4.54,,
November,7.76,1.81,3.68,4.48,2.05,1.25,2.11,1.09,4.00,6.25,,
December,5.82,2.63,1.44,4.05,4.52,3.61,3.56,4.41,5.45,3.93,,
Total,38.76,31.68,28.86,40.48,24.70,36.68,33.78,40.19,26.13,40.63,,
Calc annual,38.76,31.68,28.86,40.48,24.70,36.68,33.78,40.19,26.13,40.63,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
