"KINGS HILLS",,,,,,,,,,,,
Grid ref,WV292787,Long,-2.597080,Lat,49.459268,,,,,,,
Station no,4440,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.06,3.43,0.66,2.40,5.35,5.02,2.29,6.27,5.11,3.74,,
February,6.51,1.24,1.25,3.51,5.02,0.97,7.02,3.43,0.22,4.19,,
March,3.03,3.65,0.28,3.81,1.86,0.56,1.90,2.90,-999.00,3.26,,
April,1.96,1.68,3.13,0.48,0.54,0.57,1.12,1.05,3.28,2.11,,
May,3.13,1.16,2.28,1.97,3.12,1.04,0.59,1.77,1.07,3.00,,
June,1.15,0.22,1.27,1.93,3.07,1.48,0.62,4.00,0.41,1.39,,
July,1.23,1.15,2.28,2.05,0.52,1.10,2.54,0.74,3.14,4.39,,
August,4.95,1.80,1.81,3.62,0.18,4.91,2.48,2.09,3.80,3.72,,
September,4.35,7.62,3.47,3.82,2.00,2.99,2.76,2.39,0.44,3.21,,
October,1.12,3.32,2.82,3.04,2.89,2.76,2.52,3.65,3.87,8.94,,
November,6.22,6.02,1.69,5.46,1.70,1.42,4.29,3.27,4.47,6.88,,
December,4.47,5.02,0.90,3.68,5.68,5.22,3.10,4.76,8.91,5.57,,
Total,40.18,36.31,21.84,35.77,31.93,28.04,31.23,36.32,36.72,50.40,,
Calc annual,40.18,36.31,21.84,35.77,31.93,28.04,31.23,36.32,34.72,50.40,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,-0.00,,
