"BADMINTON GARDENS",,,,,,,,,,,,
Grid ref,ST801828,Long,-2.288351,Lat,51.543741,,,,,,,
Station no,2195,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.48,3.09,0.77,2.59,3.10,4.62,3.91,3.56,5.37,5.32,,
February,5.86,1.04,2.40,3.55,1.55,0.51,4.30,4.18,0.41,3.12,,
March,4.76,3.90,1.12,3.90,1.98,0.94,3.51,1.61,3.96,2.22,,
April,4.85,2.04,3.44,0.63,1.35,1.77,0.05,1.32,4.00,1.67,,
May,3.29,5.32,2.66,2.36,5.58,0.53,1.99,2.71,2.99,1.67,,
June,1.14,2.04,2.00,6.87,3.75,2.76,1.52,5.38,1.23,2.54,,
July,1.26,1.15,4.38,3.28,0.38,6.84,4.55,2.79,2.57,4.24,,
August,7.43,7.65,5.42,3.91,0.94,5.20,3.54,2.61,4.19,5.39,,
September,3.62,3.34,4.30,5.99,0.94,4.63,4.87,4.42,0.26,4.91,,
October,0.87,5.26,2.35,3.92,1.22,2.27,3.55,2.76,3.19,7.06,,
November,8.26,3.69,2.74,8.25,3.88,1.15,1.67,3.16,4.08,6.18,,
December,3.33,3.27,1.04,3.07,4.92,4.69,2.91,4.74,8.39,5.54,,
Total,49.15,41.79,32.62,48.32,29.59,35.91,36.37,39.24,40.64,49.86,,
Calc annual,49.15,41.79,32.62,48.32,29.59,35.91,36.37,39.24,40.64,49.86,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,,
