"FOREST OF DEAN (MAILSCOT LODGE)",,,,,,,,,,,,
Grid ref,SO566144,Long,-2.631144,Lat,51.826522,,,,,,,
Station no,2124,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.65,2.62,0.09,,,,,,,,,
February,5.18,0.58,0.45,,,,,,,,,
March,4.30,2.07,0.88,,,,,,,,,
April,2.60,1.99,1.53,,,,,,,,,
May,3.57,4.45,1.08,,,,,,,,,
June,1.20,1.73,2.15,,,,,,,,,
July,0.98,1.61,2.73,,,,,,,,,
August,4.42,5.32,2.56,,,,,,,,,
September,4.49,2.76,2.50,,,,,,,,,
October,1.43,4.19,2.72,,,,,,,,,
November,8.78,3.05,0.97,,,,,,,,,
December,3.43,0.14,0.77,,,,,,,,,
Total,44.03,30.51,18.43,,,,,,,,,
Calc annual,44.03,30.51,18.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
