"DORCHESTER (QUEEN'S AVENUE)",,,,,,,,,,,,
Grid ref,SY688898,Long,-2.443212,Lat,50.706992,,,,,,,
Station no,1575/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.43,2.66,0.98,2.13,4.38,5.42,4.71,4.07,6.73,3.89,,
February,5.97,0.82,2.39,3.97,2.49,0.16,4.44,3.66,0.42,3.34,,
March,4.75,3.68,0.76,4.56,1.57,0.80,3.31,1.49,3.97,2.70,,
April,2.46,2.12,3.13,0.10,0.89,1.65,0.26,0.62,2.76,3.00,,
May,2.60,3.12,3.22,2.25,5.14,0.94,3.25,2.99,1.57,1.80,,
June,0.53,0.97,2.83,2.86,3.20,2.78,2.66,2.81,1.15,2.77,,
July,2.38,0.89,3.67,3.18,7.55,3.26,5.01,2.74,1.34,4.58,,
August,6.76,3.57,2.55,4.00,0.54,4.97,3.70,2.75,2.07,5.56,,
September,4.73,4.04,3.61,4.40,1.89,7.18,5.09,6.14,0.12,5.33,,
October,1.07,4.98,3.97,3.79,3.79,2.29,3.31,3.71,4.44,10.41,,
November,9.78,3.93,2.08,6.71,3.51,1.01,2.71,3.77,4.38,6.74,,
December,3.31,3.63,1.17,3.55,6.51,5.68,2.74,5.53,9.25,4.33,,
Total,48.77,34.41,30.36,41.50,41.46,36.14,41.19,40.28,38.20,54.45,,
Calc annual,48.77,34.41,30.36,41.50,41.46,36.14,41.19,40.28,38.20,54.45,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
