"GLEN TARFF (LIATH DHOIRE)",,,,,,,,,,,,
Grid ref,NH392018,Long,-4.654574,Lat,57.079044,,,,,,,
Station no,5701/68,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,4.45,6.04,,
February,,,,,,,,,3.75,4.95,,
March,,,,,,,,,2.22,1.25,,
April,,,,,,,,,5.76,5.45,,
May,,,,,,,,4.63,1.92,1.90,,
June,,,,,,,,1.15,4.09,3.00,,
July,,,,,,,,2.25,5.08,3.50,,
August,,,,,,,,4.75,4.83,6.02,,
September,,,,,,,,3.50,1.25,3.40,,
October,,,,,,,,8.30,5.90,1.12,,
November,,,,,,,,2.00,4.18,4.18,,
December,,,,,,,,4.25,7.03,6.00,,
Total,,,,,,,,,50.46,46.81,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.83,50.46,46.81,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
