"ETHICK SCHOOL",,,,,,,,,,,,
Grid ref,NT266145,Long,-3.161096,Lat,55.418893,,,,,,,
Station no,5060/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,9.94,7.05,3.28,6.65,,
February,,,,,,,5.98,4.64,1.61,8.88,,
March,,,,,,,4.82,2.29,3.25,2.23,,
April,,,,,,,2.11,2.57,4.83,6.28,,
May,,,,,,3.44,2.42,3.79,1.80,3.24,,
June,,,,,,3.52,1.60,3.62,3.64,3.21,,
July,,,,,,5.68,5.03,4.07,4.39,3.79,,
August,,,,,,9.23,6.84,4.57,1.08,4.83,,
September,,,,,,4.76,3.91,5.70,1.23,3.70,,
October,,,,,,5.47,7.16,4.41,6.54,4.19,,
November,,,,,,2.83,2.48,1.62,11.69,8.71,,
December,,,,,,9.15,6.66,6.01,9.28,7.33,,
Total,,,,,,,58.95,50.34,52.62,63.04,,
Calc annual,0.00,0.00,0.00,0.00,0.00,44.08,58.95,50.34,52.62,63.04,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,,
