"WOKING (ST JOHN'S HILL RD)",,,,,,,,,,,,
Grid ref,SU988575,Long,-0.583972,Lat,51.308051,,,,,,,
Station no,219/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.48,1.80,0.90,1.08,2.70,,,,,,,
February,5.66,0.67,1.15,2.29,1.38,,,,,,,
March,3.69,2.74,0.43,2.15,0.95,,,,,,,
April,2.49,1.53,2.03,0.25,-999.00,,,,,,,
May,2.27,2.10,1.53,2.53,-999.00,,,,,,,
June,0.81,1.82,1.43,3.63,2.23,,,,,,,
July,1.43,0.56,3.68,2.60,0.25,,,,,,,
August,3.29,2.51,1.70,2.75,1.01,,,,,,,
September,2.09,3.56,1.90,2.05,1.26,,,,,,,
October,0.55,3.34,3.23,1.94,,,,,,,,
November,6.82,2.85,1.54,4.35,,,,,,,,
December,1.92,2.48,0.71,2.70,,,,,,,,
Total,34.50,25.96,20.23,28.32,,,,,,,,
Calc annual,34.50,25.96,20.23,28.32,9.78,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
