"LAIRG (HIGHER TORROBLE)",,,,,,,,,,,,
Grid ref,NC593047,Long,-4.382858,Lat,58.009140,,,,,,,
Station no,5798/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.75,,3.27,3.06,,,,,,,,
February,2.84,,2.18,2.45,,,,,,,,
March,2.54,2.99,1.12,1.73,,,,,,,,
April,4.36,0.92,2.18,1.03,,,,,,,,
May,1.28,1.66,3.39,2.95,,,,,,,,
June,1.48,1.87,1.77,,,,,,,,,
July,3.07,1.45,4.14,,,,,,,,,
August,3.62,4.77,2.11,,,,,,,,,
September,2.11,2.85,2.67,,,,,,,,,
October,1.92,3.48,1.40,,,,,,,,,
November,,2.94,4.14,,,,,,,,,
December,,7.00,3.10,,,,,,,,,
Total,,,31.47,,,,,,,,,
Calc annual,25.97,29.93,31.47,11.22,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
