"BALCOMBE (WATERWORKS)",,,,,,,,,,,,
Grid ref,TQ290312,Long,-0.160362,Lat,51.065649,,,,,,,
Station no,524,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.90,2.63,1.28,1.78,3.95,4.83,2.63,4.03,3.34,3.41,,
February,7.20,0.72,1.45,2.97,1.74,0.53,5.20,2.76,0.09,2.65,,
March,4.10,3.67,0.32,3.71,1.33,1.20,1.77,2.58,2.25,2.28,,
April,2.76,2.06,2.92,0.40,0.39,1.85,0.18,1.42,2.95,0.97,,
May,2.81,1.95,2.63,2.15,4.80,0.39,1.59,2.89,0.60,1.73,,
June,2.32,1.49,1.88,3.77,2.07,3.46,1.46,4.61,1.33,2.23,,
July,3.13,0.83,4.55,4.12,0.93,3.69,3.94,1.82,1.07,4.59,,
August,5.92,3.02,2.31,3.45,1.13,4.27,3.43,3.81,1.21,4.28,,
September,3.50,3.54,4.62,2.94,2.31,3.97,3.74,4.20,0.15,5.14,,
October,1.52,3.63,4.39,3.11,4.50,2.00,1.76,3.62,4.04,7.69,,
November,6.58,4.26,1.77,6.35,1.67,1.18,3.93,2.62,4.12,7.95,,
December,3.32,2.71,0.98,2.27,3.79,5.27,3.15,4.68,7.69,4.25,,
Total,47.06,30.51,29.10,37.02,28.61,32.64,32.78,39.04,28.84,47.17,,
Calc annual,47.06,30.51,29.10,37.02,28.61,32.64,32.78,39.04,28.84,47.17,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
