"COALBURN",,,,,,,,,,,,
Grid ref,NS801338,Long,-3.903668,Lat,55.583041,,,,,,,
Station no,5188/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.31,6.39,4.79,1.58,,,
February,,,,,,1.84,3.45,3.87,2.19,,,
March,,,,,,3.28,4.83,1.76,2.50,,,
April,,,,,,1.39,2.34,2.28,4.05,,,
May,,,,,,2.70,2.63,3.16,1.94,,,
June,,,,,,3.26,2.53,3.23,3.25,,,
July,,,,,,5.29,4.04,5.70,7.16,,,
August,,,,,2.04,9.20,6.32,6.22,1.95,,,
September,,,,,4.46,4.30,3.69,5.18,1.13,,,
October,,,,,3.94,4.67,5.70,3.55,8.66,,,
November,,,,,1.69,1.97,2.76,2.04,5.75,,,
December,,,,,9.87,7.55,5.59,4.96,5.10,,,
Total,,,,,,48.76,50.27,46.74,45.26,,,
Calc annual,0.00,0.00,0.00,0.00,22.00,48.76,50.27,46.74,45.26,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,,
