"SKYE (STRUAN SCHOOL HOUSE)",,,,,,,,,,,,
Grid ref,NG342383,Long,-6.421246,Lat,57.357368,,,,,,,
Station no,5757/7/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.89,4.86,4.75,7.33,4.04,4.37,,,,,,
February,3.11,2.50,4.76,5.86,2.68,3.94,,,,,,
March,2.78,3.70,1.64,4.66,3.19,2.05,,,,,,
April,4.08,3.36,5.34,1.90,3.88,,,,,,,
May,0.36,2.51,3.40,3.53,3.16,,,,,,,
June,1.97,4.66,1.87,4.99,3.52,,,,,,,
July,5.66,3.54,5.97,4.85,1.42,,,,,,,
August,4.00,6.01,4.90,3.49,1.01,,,,,,,
September,5.08,4.82,5.03,7.63,9.24,,,,,,,
October,5.87,5.75,10.15,9.24,7.99,,,,,,,
November,5.66,3.89,12.82,8.42,2.66,,,,,,,
December,7.71,7.28,6.92,7.67,7.41,,,,,,,
Total,54.17,52.88,67.55,69.57,50.20,,,,,,,
Calc annual,54.17,52.88,67.55,69.57,50.20,10.36,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
