"ISLE OF EIGG",,,,,,,,,,,,
Grid ref,NM479886,Long,-6.144006,Lat,56.919879,,,,,,,
Station no,5752,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.96,5.65,4.30,6.03,3.97,5.10,8.19,7.05,3.27,3.59,,
February,3.87,3.40,4.57,4.23,3.55,3.40,3.64,4.14,2.03,4.00,,
March,3.29,5.06,2.05,4.53,1.45,2.69,6.52,1.79,4.55,1.58,,
April,3.75,3.04,4.40,1.87,4.73,2.73,3.20,3.52,4.10,4.53,,
May,0.50,2.39,3.61,4.01,2.15,4.38,1.83,3.79,1.01,2.37,,
June,2.25,4.66,1.36,4.62,3.69,3.31,4.67,2.20,4.46,3.62,,
July,7.12,3.58,6.43,4.34,1.25,7.23,6.38,2.50,6.79,3.33,,
August,5.21,4.37,6.72,5.02,1.58,6.48,6.56,4.24,3.28,3.80,,
September,5.54,4.89,5.78,8.85,7.70,4.69,4.96,4.20,3.88,5.29,,
October,5.29,5.69,5.99,9.47,8.54,6.25,10.17,7.71,9.52,1.44,,
November,7.01,2.73,10.98,7.29,3.16,5.71,4.39,2.90,6.79,8.67,,
December,10.30,7.73,6.16,7.83,6.10,7.80,7.91,3.67,8.08,9.00,,
Total,63.09,53.19,62.35,68.09,47.87,59.77,68.42,47.71,57.76,51.22,,
Calc annual,63.09,53.19,62.35,68.09,47.87,59.77,68.42,47.71,57.76,51.22,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
