"PARSON DROVE (CLOUGH'S CROSS)",,,,,,,,,,,,
Grid ref,TF369094,Long,0.022907,Lat,52.665035,,,,,,,
Station no,1221,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.31,1.56,1.17,1.08,1.77,3.75,0.95,2.12,3.18,3.36,,
February,2.35,0.43,1.70,2.08,2.14,1.07,2.39,3.24,0.17,1.89,,
March,3.22,2.58,0.71,2.04,1.52,0.46,1.77,1.41,1.74,1.50,,
April,2.45,1.14,1.74,0.30,0.71,0.80,0.20,0.85,1.01,0.36,,
May,3.27,2.22,1.59,2.57,2.38,0.81,1.38,3.14,0.56,0.71,,
June,0.76,1.02,3.35,2.40,2.04,2.28,1.96,4.17,0.41,2.57,,
July,0.68,0.36,2.13,2.02,0.17,3.40,2.44,3.29,2.65,2.56,,
August,3.55,2.27,2.52,4.52,1.05,3.71,1.94,3.75,0.90,2.00,,
September,1.46,2.17,1.14,1.75,1.16,1.52,3.97,2.71,0.06,2.15,,
October,0.92,1.90,2.20,2.30,1.86,0.90,1.03,1.39,1.48,3.78,,
November,2.83,2.56,1.48,4.23,0.92,0.67,1.49,1.30,1.46,3.56,,
December,1.37,1.59,0.80,2.14,1.16,1.77,1.82,2.26,3.41,3.30,,
Total,25.17,19.80,20.53,27.43,16.88,21.14,21.34,29.63,17.03,27.74,,
Calc annual,25.17,19.80,20.53,27.43,16.88,21.14,21.34,29.63,17.03,27.74,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
