"BRECON (TAIRBULL SCHOOL)",,,,,,,,,,,,
Grid ref,SN996261,Long,-3.461422,Lat,51.924335,,,,,,,
Station no,4198,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.73,5.59,1.48,3.93,4.50,6.77,7.87,5.31,7.43,7.88,,
February,6.05,1.22,2.15,5.99,2.16,0.39,7.74,11.26,0.34,8.98,,
March,4.76,2.84,3.79,4.87,4.05,3.45,5.45,1.10,6.12,2.56,,
April,4.06,3.94,3.57,0.75,2.17,1.41,0.15,1.15,6.40,5.46,,
May,2.97,4.31,2.56,3.45,6.25,1.27,3.00,5.16,1.69,2.10,,
June,0.82,3.21,1.25,5.14,5.78,2.98,1.26,3.65,2.27,2.36,,
July,1.67,1.84,3.77,3.01,0.78,3.85,4.78,3.17,3.97,4.36,,
August,5.72,6.78,3.51,4.77,0.57,5.43,4.42,3.30,0.92,4.17,,
September,4.41,2.95,5.15,5.56,2.06,6.82,8.05,9.15,0.45,5.57,,
October,1.66,4.87,3.50,7.51,4.13,3.59,3.76,6.10,5.99,8.83,,
November,10.32,3.57,4.95,12.92,4.64,2.51,4.00,2.52,10.22,14.46,,
December,6.48,4.84,1.60,5.00,7.30,8.99,6.43,6.17,14.82,8.04,,
Total,54.65,45.96,37.28,62.90,44.39,47.46,56.91,58.04,60.62,74.77,,
Calc annual,54.65,45.96,37.28,62.90,44.39,47.46,56.91,58.04,60.62,74.77,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
