"GLEN CASSLEY (DALPHAID)",,,,,,,,,,,,
Grid ref,NC397145,Long,-4.720842,Lat,58.090422,,,,,,,
Station no,5799/1/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,8.59,6.06,2.56,7.53,10.11,7.51,4.40,5.20,,
February,,,4.57,3.65,4.51,5.52,4.48,6.36,3.26,4.95,,
March,,,3.43,3.55,1.79,2.85,6.09,2.56,2.59,1.39,,
April,,,3.60,2.76,2.64,3.01,3.33,4.26,4.93,5.12,,
May,,,3.45,4.40,4.32,4.66,1.96,6.32,3.15,1.63,,
June,,,2.23,3.49,3.11,2.86,4.01,2.77,5.98,4.08,,
July,,,4.85,5.71,0.93,8.13,5.65,2.60,6.09,2.69,,
August,,,4.29,3.42,0.80,6.33,9.27,6.09,4.05,3.21,,
September,,,6.53,7.84,6.58,3.93,6.29,3.90,3.44,2.33,,
October,,,2.71,10.70,6.06,6.77,9.15,8.21,8.14,3.61,,
November,,,11.87,6.59,3.72,6.67,5.11,2.80,7.33,3.46,,
December,,,5.36,15.87,11.63,9.87,12.34,6.73,6.02,8.03,,
Total,,,61.48,74.04,48.65,68.13,77.79,60.61,59.38,45.70,,
Calc annual,0.00,0.00,61.48,74.04,48.65,68.13,77.79,60.11,59.38,45.70,,
Difference,NaN,NaN,0.00,0.00,-0.00,-0.00,0.00,0.50,0.00,0.00,,
