"FALKIRK (KERSE)",,,,,,,,,,,,
Grid ref,NS912817,Long,-3.746832,Lat,56.015830,,,,,,,
Station no,5346/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.86,2.40,0.83,3.45,2.66,2.20,5.15,2.55,1.42,3.98,,
February,2.27,0.35,1.02,2.51,2.20,1.30,3.32,2.10,1.35,2.77,,
March,2.34,2.60,0.81,2.55,2.41,1.70,2.69,1.45,1.02,2.21,,
April,2.10,1.05,1.63,1.70,0.91,0.63,1.34,1.19,2.92,1.28,,
May,1.80,0.50,1.80,4.10,3.29,1.75,2.44,2.71,0.97,2.55,,
June,2.00,2.41,1.17,2.25,1.08,3.30,1.48,3.18,1.73,1.55,,
July,5.40,2.50,4.17,2.75,0.92,4.23,3.12,6.09,4.30,2.49,,
August,4.20,3.00,1.75,4.15,1.11,5.26,3.48,3.94,0.56,3.60,,
September,2.00,1.10,3.71,3.82,2.14,3.93,1.90,3.22,0.78,1.30,,
October,1.00,2.25,1.24,8.90,2.00,2.42,2.63,2.20,2.72,3.30,,
November,4.53,1.55,3.82,4.55,1.53,0.63,1.56,1.30,4.63,3.34,,
December,5.12,2.50,3.65,4.22,5.70,3.79,4.15,5.30,4.48,3.76,,
Total,36.62,22.21,25.60,44.95,25.95,31.14,33.26,35.23,26.88,32.13,,
Calc annual,36.62,22.21,25.60,44.95,25.95,31.14,33.26,35.23,26.88,32.13,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
