"SHIFNAL (WESTON PARK)",,,,,,,,,,,,
Grid ref,SJ806108,Long,-2.288483,Lat,52.694530,,,,,,,
Station no,2323,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.85,2.20,0.71,1.36,2.58,2.97,1.28,1.52,2.08,5.45,,
February,2.00,0.54,1.71,1.89,1.62,0.50,1.90,3.33,0.34,2.06,,
March,4.35,2.26,0.88,2.11,2.75,1.15,1.74,1.04,2.17,1.64,,
April,1.65,2.34,2.56,0.30,1.27,1.64,0.16,0.66,3.36,0.99,,
May,2.90,3.01,2.42,2.21,4.10,0.74,1.08,1.83,0.84,2.25,,
June,1.11,2.35,2.45,2.92,2.30,2.03,2.00,4.08,1.44,2.09,,
July,1.44,1.37,2.72,4.33,1.90,2.16,3.31,5.14,1.64,4.14,,
August,3.68,2.49,2.74,4.51,1.16,4.53,3.97,4.64,1.04,2.39,,
September,2.03,1.75,2.58,2.02,2.06,2.27,4.64,3.95,0.17,4.93,,
October,1.06,3.51,1.59,4.01,1.37,2.25,1.79,2.95,2.64,4.21,,
November,4.81,2.10,1.45,5.17,1.77,0.74,1.89,1.78,2.98,4.46,,
December,2.40,3.21,1.10,3.01,1.79,2.32,0.98,2.26,3.22,2.94,,
Total,29.28,27.13,22.91,33.84,24.67,23.30,24.74,33.18,21.92,37.55,,
Calc annual,29.28,27.13,22.91,33.84,24.67,23.30,24.74,33.18,21.92,37.55,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
