"MILL HILL (BUNNS LANE)",,,,,,,,,,,,
Grid ref,TQ215915,Long,-0.246789,Lat,51.609233,,,,,,,
Station no,874/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.78,2.26,2.19,,
February,,,,,,,3.05,2.83,0.08,2.41,,
March,,,,,,,1.27,1.35,2.08,1.75,,
April,,,,,,,0.22,1.60,2.44,0.60,,
May,,,,,,,1.19,2.66,0.58,2.45,,
June,,,,,,,0.98,4.86,1.42,1.45,,
July,,,,,,,3.24,2.62,1.55,3.62,,
August,,,,,,,1.90,3.68,1.48,2.45,,
September,,,,,,,2.64,4.43,0.02,4.13,,
October,,,,,,,2.03,2.59,1.85,5.40,,
November,,,,,,,2.15,2.36,2.47,3.98,,
December,,,,,,,2.28,3.05,3.86,2.86,,
Total,,,,,,,,34.81,20.09,33.29,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,20.95,34.81,20.09,33.29,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
