"GAYTON (WATERWORKS) (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TF734207,Long,0.568061,Lat,52.756082,,,,,,,
Station no,1472,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.66,2.03,1.41,1.45,1.76,3.16,1.47,2.09,3.21,3.37,,
February,2.12,0.92,1.39,2.02,2.07,1.32,2.54,4.47,0.20,1.23,,
March,3.15,2.59,0.85,2.25,1.51,0.72,2.02,0.97,1.99,0.94,,
April,2.88,1.48,2.10,0.24,0.76,0.81,0.15,0.57,1.33,0.67,,
May,1.99,2.43,1.26,2.27,2.42,0.99,1.35,2.96,0.60,0.84,,
June,1.18,0.56,4.42,1.74,1.96,2.43,1.55,1.90,1.13,1.19,,
July,1.75,0.64,2.44,3.45,0.21,2.59,2.87,3.72,2.87,3.63,,
August,3.03,2.30,2.48,6.05,0.70,3.57,2.15,2.43,2.36,4.65,,
September,2.16,2.56,1.05,2.34,1.33,1.21,3.58,2.48,0.01,2.76,,
October,0.62,2.03,2.66,2.84,2.59,1.62,1.52,1.88,2.00,4.93,,
November,3.04,3.28,1.62,4.08,1.08,1.10,1.33,1.27,1.44,3.29,,
December,1.37,2.00,1.11,1.76,1.42,1.23,1.98,2.97,3.99,3.88,,
Total,25.95,22.82,22.79,30.49,17.81,20.75,22.51,27.71,21.13,31.38,,
Calc annual,25.95,22.82,22.79,30.49,17.81,20.75,22.51,27.71,21.13,31.38,,
Difference,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,,
