"GRUNDISBURGH (BRIDGE HOUSE)",,,,,,,,,,,,
Grid ref,TM230502,Long,1.254888,Lat,52.105151,,,,,,,
Station no,1357/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.02,2.75,0.98,1.42,2.41,3.99,1.33,2.69,2.02,3.20,,
February,3.73,0.92,1.21,2.23,2.14,1.05,2.33,3.01,0.18,1.35,,
March,3.15,3.34,0.34,2.41,1.60,0.74,1.48,1.32,1.66,1.63,,
April,3.64,0.71,1.76,0.34,0.19,0.92,0.26,1.17,1.32,0.59,,
May,2.24,1.21,1.38,1.28,2.47,0.78,1.99,3.04,0.25,0.47,,
June,1.17,1.51,3.13,2.24,3.23,1.75,2.28,4.12,1.11,2.25,,
July,3.05,0.72,2.50,2.39,0.17,2.09,3.30,1.99,2.06,3.06,,
August,3.52,2.78,1.43,3.43,3.78,3.80,2.88,3.73,1.52,3.07,,
September,2.80,2.85,1.41,1.29,1.42,1.86,3.17,2.86,0.02,5.11,,
October,0.64,1.84,1.89,1.63,4.17,1.79,1.67,2.57,1.75,5.89,,
November,4.39,4.56,1.11,4.00,0.71,1.01,2.31,1.25,2.47,2.69,,
December,1.97,2.62,0.82,2.00,1.61,2.00,2.31,3.49,3.32,3.56,,
Total,32.32,25.81,17.96,24.66,23.90,21.78,25.31,31.24,17.68,32.87,,
Calc annual,32.32,25.81,17.96,24.66,23.90,21.78,25.31,31.24,17.68,32.87,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
