"FORT WILLIAM (TEVIOT) (SECONDARY SCHOOL)",,,,,,,,,,,,
Grid ref,NN009730,Long,-5.262742,Lat,56.805783,,,,,,,
Station no,5750/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.73,7.79,6.24,7.99,4.93,7.15,16.09,7.69,,4.66,,
February,5.02,3.76,7.85,4.77,4.24,4.28,5.46,3.58,,6.71,,
March,3.74,5.86,3.04,5.44,1.00,3.94,8.14,2.25,,1.07,,
April,6.88,4.39,4.64,3.12,4.42,3.89,3.13,4.78,,6.87,,
May,0.50,2.48,5.81,4.10,3.42,7.68,2.35,6.50,,3.06,,
June,2.96,5.20,1.09,5.22,4.00,3.41,2.98,2.11,,3.61,,
July,5.52,3.52,6.89,3.51,1.50,5.57,6.11,3.27,,4.18,,
August,7.52,5.92,8.07,5.92,1.71,4.05,6.09,5.39,,,,
September,8.56,6.37,10.58,10.55,9.10,7.79,5.12,5.10,,,,
October,3.63,8.77,5.68,14.62,8.80,9.19,,10.39,,,,
November,10.12,4.27,15.83,10.61,2.62,7.96,,2.44,,,,
December,15.26,8.58,9.76,16.33,11.99,16.38,,5.65,,,,
Total,79.44,66.91,85.48,92.18,57.73,81.29,,59.15,,,,
Calc annual,79.44,66.91,85.48,92.18,57.73,81.29,55.47,59.15,0.00,30.16,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,NaN,0.00,NaN,NaN,,
