"SIMONBURN (PARK END)",,,,,,,,,,,,
Grid ref,NY863739,Long,-2.216014,Lat,55.059390,,,,,,,
Station no,3570/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.18,3.65,0.87,3.48,3.40,3.33,3.87,1.92,1.78,4.17,,
February,1.85,0.39,1.89,2.02,2.41,2.23,2.39,3.97,0.55,2.18,,
March,2.56,1.85,0.70,1.56,1.79,0.92,1.20,2.38,1.28,2.07,,
April,2.31,2.04,3.02,0.72,0.82,0.99,0.68,1.98,2.24,1.50,,
May,2.50,2.08,2.71,4.66,2.21,0.87,1.54,3.10,0.28,2.09,,
June,0.96,1.82,1.34,2.12,1.85,3.77,1.13,2.36,2.82,0.73,,
July,2.42,1.52,2.99,2.73,1.67,2.48,2.73,5.07,2.67,4.03,,
August,4.02,3.85,4.68,4.58,1.34,8.21,3.25,2.83,0.33,3.39,,
September,1.38,4.31,3.88,5.87,2.18,3.00,3.23,3.32,0.71,1.11,,
October,0.84,2.48,1.16,6.83,1.65,2.23,2.61,2.10,2.96,3.97,,
November,6.31,2.70,2.88,3.36,1.16,0.85,1.30,0.98,4.55,4.30,,
December,3.33,3.66,1.90,4.44,5.38,2.73,2.01,3.34,4.48,4.31,,
Total,30.66,30.25,28.02,42.37,25.86,31.61,25.94,33.35,24.65,33.85,,
Calc annual,30.66,30.35,28.02,42.37,25.86,31.61,25.94,33.35,24.65,33.85,,
Difference,0.00,-0.10,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
