"EAST BERGHOLT (FLATFORD MILL)",,,,,,,,,,,,
Grid ref,TM077333,Long,1.021570,Lat,51.959373,,,,,,,
Station no,1331/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.75,1.24,2.32,3.41,1.20,3.10,1.85,2.25,,
February,,,1.06,2.10,1.89,0.53,2.43,2.85,0.11,1.07,,
March,,,0.23,2.17,1.39,0.84,1.07,0.94,1.39,1.63,,
April,,,1.61,0.29,0.16,0.84,0.26,1.02,1.88,0.49,,
May,,,1.40,1.76,2.49,0.85,1.37,2.19,0.33,0.79,,
June,,,4.24,2.20,2.20,1.91,1.29,4.64,1.05,0.87,,
July,,,3.01,2.52,0.13,2.49,3.20,3.67,1.01,3.59,,
August,,,1.30,3.49,2.01,4.47,2.93,3.74,1.12,3.14,,
September,,,1.66,1.14,1.21,1.52,2.93,2.64,,2.74,,
October,,,1.97,1.58,4.39,1.09,1.48,2.22,1.73,5.46,,
November,,,1.18,3.43,0.67,0.62,2.69,1.13,2.11,3.20,,
December,,,0.63,1.93,1.37,1.97,2.02,3.72,3.65,2.79,,
Total,,,19.04,23.85,20.23,20.54,22.87,31.86,16.23,28.02,,
Calc annual,0.00,0.00,19.04,23.85,20.23,20.54,22.87,31.86,16.23,28.02,,
Difference,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
