"COBHAM (JESTYNS COURT)",,,,,,,,,,,,
Grid ref,TQ660690,Long,0.384746,Lat,51.395752,,,,,,,
Station no,395/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.72,2.17,0.98,1.46,2.92,3.96,1.17,2.40,2.06,2.32,,
February,6.40,1.00,1.30,1.88,2.23,0.49,3.11,1.99,0.05,2.10,,
March,3.02,2.74,0.27,2.29,1.03,1.03,1.03,1.40,1.96,1.45,,
April,3.10,0.92,2.41,0.32,0.21,1.27,0.21,1.72,2.28,0.62,,
May,2.38,1.15,1.85,1.71,3.81,0.79,0.96,1.81,0.78,2.32,,
June,0.89,1.24,1.44,3.69,1.74,2.24,0.98,3.85,0.80,0.89,,
July,3.10,0.67,3.34,2.32,0.37,4.10,2.87,1.67,1.19,2.61,,
August,3.41,2.61,1.28,2.70,1.10,2.41,3.34,3.87,0.90,3.26,,
September,3.26,3.91,3.12,1.42,2.03,2.69,2.52,4.76,0.09,4.42,,
October,0.90,2.10,2.54,1.96,3.67,1.07,1.21,2.48,2.23,6.39,,
November,3.97,5.08,1.14,4.95,0.70,0.57,3.43,1.54,3.59,3.98,,
December,2.35,2.31,0.75,1.87,1.81,3.08,2.20,2.92,4.33,2.56,,
Total,35.50,25.90,20.42,26.57,21.62,23.70,23.03,30.41,20.26,32.92,,
Calc annual,35.50,25.90,20.42,26.57,21.62,23.70,23.03,30.41,20.26,32.92,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
