"MORAR (MEOBLE)",,,,,,,,,,,,
Grid ref,NM683922,Long,-5.812978,Lat,56.962798,,,,,,,
Station no,5714/2/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,6.80,,,,,,,,,,
February,,5.15,,,,,,,,,,
March,2.20,,,,,,,,,,,
April,4.75,,,,,,,,,,,
May,0.70,,,,,,,,,,,
June,2.85,,,,,,,,,,,
July,8.30,,,,,,,,,,,
August,6.80,,,,,,,,,,,
September,6.70,,,,,,,,,,,
October,5.95,,,,,,,,,,,
November,9.40,,,,,,,,,,,
December,16.00,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,63.65,11.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
