"STIRLING ( TOUCH RESERVOIR )  NO 3 N.G.",,,,,,,,,,,,
Grid ref,NS732917,Long,-4.040115,Lat,56.101194,,,,,,,
Station no,5355/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.08,5.46,,
February,,,,,,,,,2.37,5.80,,
March,,,,,,,,,3.44,2.82,,
April,,,,,,,,,4.88,5.46,,
May,,,,,,,,,1.41,4.17,,
June,,,,,,,,4.40,3.32,3.08,,
July,,,,,,,,8.92,5.99,4.97,,
August,,,,,,,,6.05,1.74,4.74,,
September,,,,,,,,5.15,1.13,4.12,,
October,,,,,,,,5.85,5.12,5.59,,
November,,,,,,,,2.02,6.58,7.76,,
December,,,,,,,,8.91,8.98,6.73,,
Total,,,,,,,,,47.04,60.70,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.30,47.04,60.70,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
