"BURY (BEECH HILL)",,,,,,,,,,,,
Grid ref,SD809103,Long,-2.290012,Lat,53.588930,,,,,,,
Station no,2852/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,,,
August,,,,,,,,,,,,
September,,,,,,5.31,,,,,,
October,,,,,,4.17,,,,,,
November,,,,,,3.37,,,,,,
December,,,,,,7.01,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,19.86,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
