"NEWNHAM (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TQ975597,Long,0.831832,Lat,51.302151,,,,,,,
Station no,311/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.17,2.40,1.06,2.02,3.47,4.37,1.89,3.02,2.30,3.01,,
February,6.03,1.02,1.50,2.05,1.97,0.86,3.80,2.53,0.03,2.16,,
March,3.62,3.18,0.22,2.49,1.63,0.38,0.87,1.72,1.25,1.84,,
April,2.21,0.98,2.04,0.26,0.17,0.99,0.19,1.70,2.81,0.68,,
May,2.29,0.84,2.32,1.75,4.18,0.56,1.43,2.27,1.01,1.95,,
June,1.38,1.56,2.64,3.34,2.08,2.32,1.51,4.98,1.25,1.43,,
July,1.49,0.97,3.41,2.39,2.35,2.79,3.36,1.54,2.57,2.70,,
August,3.17,3.01,1.57,3.67,3.10,3.37,2.52,3.49,1.31,4.05,,
September,3.28,4.32,3.80,1.45,1.67,1.91,2.57,2.82,0.18,2.51,,
October,1.05,2.07,2.44,2.27,4.81,1.26,1.04,3.86,2.63,6.55,,
November,4.04,4.22,1.62,5.83,0.77,0.61,3.41,1.68,4.57,5.65,,
December,2.23,2.99,0.72,1.66,1.90,3.25,2.25,3.48,5.59,3.72,,
Total,33.96,27.56,23.34,29.18,28.10,22.67,24.84,33.09,25.50,36.25,,
Calc annual,33.96,27.56,23.34,29.18,28.10,22.67,24.84,33.09,25.50,36.25,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
