"POOLE",,,,,,,,,,,,
Grid ref,SZ027915,Long,-1.963115,Lat,50.723118,,,,,,,
Station no,1581,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.28,2.10,0.92,2.04,3.46,4.78,2.73,4.29,3.70,3.84,,
February,6.40,0.66,1.27,3.13,1.92,0.14,4.27,3.02,0.30,3.06,,
March,3.84,2.56,0.52,4.31,1.25,0.99,2.57,1.69,3.43,2.71,,
April,3.32,1.65,2.26,0.11,0.55,2.18,0.16,0.58,2.57,1.92,,
May,2.36,2.34,2.39,2.63,4.01,0.53,1.79,2.27,1.24,2.14,,
June,0.35,0.85,2.14,2.64,2.58,2.10,1.59,4.16,1.73,1.70,,
July,1.13,0.70,2.66,3.27,0.44,4.35,2.42,1.79,1.83,3.75,,
August,4.63,3.60,1.70,2.80,1.07,3.27,2.69,3.21,2.43,4.42,,
September,3.83,4.47,2.77,3.51,1.21,4.94,2.77,4.62,0.22,6.67,,
October,1.22,4.85,3.59,2.78,5.17,1.59,2.51,3.24,2.93,9.95,,
November,9.42,3.95,1.77,5.86,2.83,0.96,2.15,2.71,3.95,5.75,,
December,3.17,2.86,0.80,3.03,5.46,5.96,2.26,4.49,8.18,3.46,,
Total,42.95,30.59,22.79,36.11,29.95,31.79,27.91,36.07,32.51,49.37,,
Calc annual,42.95,30.59,22.79,36.11,29.95,31.79,27.91,36.07,32.51,49.37,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
