"OLD MALDEN (SPORTS GROUND)",,,,,,,,,,,,
Grid ref,TQ219669,Long,-0.249506,Lat,51.388060,,,,,,,
Station no,146/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.42,1.97,0.97,1.21,2.55,3.67,1.64,2.05,2.03,1.87,,
February,6.37,0.92,1.33,2.20,1.60,0.44,2.89,2.25,0.05,1.58,,
March,3.19,3.05,0.51,2.09,1.05,0.78,0.78,1.22,2.09,1.68,,
April,2.61,1.32,2.30,0.30,0.28,1.14,0.28,1.18,1.82,0.65,,
May,2.09,3.90,1.39,3.31,3.92,0.22,1.46,2.20,0.78,1.96,,
June,1.02,2.05,1.16,4.13,2.06,1.80,1.09,4.62,0.67,1.28,,
July,1.61,0.68,3.81,2.72,1.50,5.42,2.93,2.49,1.18,2.81,,
August,2.66,2.23,1.49,2.75,1.08,2.93,3.46,3.52,1.42,6.34,,
September,3.42,3.33,2.80,2.57,1.62,2.10,2.53,4.41,0.01,2.78,,
October,0.80,2.57,3.21,2.33,2.86,1.50,1.78,3.10,2.07,5.24,,
November,5.94,3.10,1.09,4.27,0.68,0.53,2.68,1.72,2.95,3.55,,
December,2.22,2.53,0.59,1.90,2.14,2.77,1.88,2.63,3.33,2.53,,
Total,35.35,27.65,20.65,29.78,21.34,23.30,23.40,31.39,18.40,32.27,,
Calc annual,35.35,27.65,20.65,29.78,21.34,23.30,23.40,31.39,18.40,32.27,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
