"NORTHAMPTON (CLIFTONVILLE NURSERIES)",,,,,,,,,,,,
Grid ref,SP767602,Long,-0.878300,Lat,52.234661,,,,,,,
Station no,1105/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.87,1.62,2.75,3.68,3.73,,
February,,,,,,0.44,2.09,3.53,0.02,1.88,,
March,,,,,,1.00,1.69,2.35,3.11,1.26,,
April,,,,,,0.98,0.38,1.42,2.45,0.60,,
May,,,,,,0.29,1.52,1.97,0.31,1.27,,
June,,,,,,3.16,1.42,4.50,0.85,3.63,,
July,,,,,,4.69,3.90,2.57,2.03,3.32,,
August,,,,,,4.74,2.00,3.14,0.76,2.99,,
September,,,,,,1.85,4.35,2.49,0.03,4.57,,
October,,,,,,1.28,1.23,2.29,1.52,6.02,,
November,,,,,,0.63,1.85,1.91,2.23,3.09,,
December,,,,,,2.48,2.48,2.77,4.27,2.67,,
Total,,,,,,25.41,24.53,31.69,21.26,35.03,,
Calc annual,0.00,0.00,0.00,0.00,0.00,25.41,24.53,31.69,21.26,35.03,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,,
