"BLAXHALL",,,,,,,,,,,,
Grid ref,TM366565,Long,1.457478,Lat,52.156044,,,,,,,
Station no,1364,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.88,3.01,0.74,1.73,2.28,4.42,1.36,2.41,2.06,3.70,,
February,3.64,0.80,1.30,2.33,2.16,1.30,2.35,3.16,0.16,1.32,,
March,3.04,2.82,0.32,2.41,1.45,0.77,1.36,1.44,1.50,1.90,,
April,3.28,0.61,1.75,0.35,0.24,0.85,0.20,1.26,1.43,0.95,,
May,1.78,1.38,1.17,1.38,2.51,0.53,1.60,2.87,0.24,0.64,,
June,1.34,1.47,1.70,2.59,2.90,1.91,1.85,3.50,0.49,2.05,,
July,2.93,1.31,2.47,2.23,0.29,2.34,3.15,2.15,2.09,3.40,,
August,3.62,3.24,1.92,4.78,3.45,4.15,2.34,6.16,2.66,3.58,,
September,2.75,4.54,1.66,1.54,1.76,1.98,3.33,2.90,-999.00,2.82,,
October,0.58,1.70,2.25,1.62,4.64,2.11,1.60,2.44,1.96,7.44,,
November,4.33,4.77,1.26,4.37,0.59,1.10,1.91,1.15,2.33,3.32,,
December,1.94,2.48,0.88,1.97,1.54,1.99,2.01,3.49,3.21,3.30,,
Total,31.11,28.13,17.42,27.30,23.81,23.45,23.06,32.93,18.13,34.42,,
Calc annual,31.11,28.13,17.42,27.30,23.81,23.45,23.06,32.93,18.13,34.42,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
