"WATNALL",,,,,,,,,,,,
Grid ref,SK503456,Long,-1.251861,Lat,53.005360,,,,,,,
Station no,2617/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,1.95,3.07,3.28,5.00,,
February,,,,,,,2.78,4.20,0.20,2.07,,
March,,,,,,,2.67,1.77,1.30,1.62,,
April,,,,,,,0.25,0.91,2.69,1.25,,
May,,,,,,,0.84,2.32,0.57,1.12,,
June,,,,,,,1.84,4.09,0.68,1.78,,
July,,,,,,,2.84,4.53,1.42,3.57,,
August,,,,,,,4.50,2.19,1.15,3.33,,
September,,,,,,,5.77,2.41,0.07,4.33,,
October,,,,,,,1.60,2.12,2.13,5.65,,
November,,,,,,,2.20,1.10,2.28,3.39,,
December,,,,,,2.70,2.36,3.45,3.85,3.78,,
Total,,,,,,,29.60,32.16,19.62,36.89,,
Calc annual,0.00,0.00,0.00,0.00,0.00,2.70,29.60,32.16,19.62,36.89,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
