"GLENLOCHAR",,,,,,,,,,,,
Grid ref,NX732646,Long,-3.981855,Lat,54.959857,,,,,,,
Station no,5014/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,4.86,4.55,3.25,5.85,6.05,2.29,5.98,,
February,,,,5.18,1.74,0.74,3.37,3.68,1.75,5.83,,
March,,,,3.31,2.70,2.07,3.72,1.17,3.15,1.82,,
April,,,,1.30,2.56,0.98,1.90,1.43,3.15,4.88,,
May,,,,3.67,3.80,2.36,3.15,3.93,0.97,1.90,,
June,,,,4.07,3.28,2.57,1.16,3.79,3.82,2.58,,
July,,,,3.40,2.36,6.53,4.39,4.63,4.66,4.28,,
August,,,,3.83,1.89,8.05,2.93,3.60,0.46,4.17,,
September,,,,5.86,3.23,5.73,4.37,5.21,1.77,4.17,,
October,,,,10.12,2.84,3.41,5.57,4.84,5.54,5.57,,
November,,,,11.07,2.92,1.49,3.30,2.72,9.86,9.02,,
December,,,,5.87,7.31,6.02,5.67,4.38,9.73,5.08,,
Total,,,,62.54,39.18,43.20,45.38,45.43,47.15,55.28,,
Calc annual,0.00,0.00,0.00,62.54,39.18,43.20,45.38,45.43,47.15,55.28,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
