"BOLTON (HALL I' TH' WOOD)",,,,,,,,,,,,
Grid ref,SD724116,Long,-2.418532,Lat,53.600234,,,,,,,
Station no,2849/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,3.03,6.13,,
February,,,,,,,,,0.63,3.08,,
March,,,,,,,,,2.02,1.47,,
April,,,,,,,,,3.05,2.72,,
May,,,,,,,,,2.39,2.46,,
June,,,,,,,,,2.48,1.76,,
July,,,,,,,,,4.12,8.21,,
August,,,,,,,,,0.52,6.11,,
September,,,,,,,,,0.34,3.50,,
October,,,,,,,,,5.19,5.17,,
November,,,,,,,,,4.69,7.53,,
December,,,,,,,,,8.20,5.11,,
Total,,,,,,,,,36.66,53.25,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.66,53.25,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,,
