"OTTERY ST MARY (WIGGATON)",,,,,,,,,,,,
Grid ref,SY100935,Long,-3.276680,Lat,50.734117,,,,,,,
Station no,1815/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,4.43,,
February,,,,,,,,,,5.25,,
March,,,,,,,,,,3.27,,
April,,,,,,,,,,3.63,,
May,,,,,,,,,,1.81,,
June,,,,,,,,,,0.96,,
July,,,,,,,,,,4.01,,
August,,,,,,,,,,3.34,,
September,,,,,,,,,,5.93,,
October,,,,,,,,,,12.94,,
November,,,,,,,,,,5.08,,
December,,,,,,,,,,4.19,,
Total,,,,,,,,,,54.84,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.84,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
